EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000008.3,6,0.28015,0.0662596085794368,70.48469,0.0440974212034384,0.48059,9.1,9.95442003608193,0.139976652870636,0.455109837631328,0.865329512893983,18.9835508861297,0.0847925289186034,0.09403,0.07987,0.4645,0,10.41885,1.86455,2.62391,58.36187,25.75391,0.04706,0.91563,0.29962,0.59778,0.10054
IHECRE00000008.3,7,0.55377,0.0496381831795563,53.1881,0.148731939963529,0.52953,1.595,3.04432599242531,1.09795670266985,0.58830130453079,3.01996539954178,13.0005610885117,0.460560153364193,0.16848,0.13715,0.48535,0.32675,7.57093,1.69715,2.64861,47.59562,23.64951,0.04414,1.68787,0.49759,0.63294,0.29617
IHECRE00000008.3,8,2.35743,0.0161672522809465,7.97682,0.657775578969888,0.93862,0,1.34264855324384,4.94378777343959,0.484516232550677,1.07822110499011,1.70169011071295,1.99237845643686,0.78783,0.87365,0.83558,1.04712,1.94311,1.01367,1.78747,3.91259,4.67483,0.16444,1.21035,0.79342,0.64283,1.0593
IHECRE00000008.3,9,83.77619,0.0105634859023932,0.24453,0.876697170055563,1.00753,0.02,1.25405273534742,0.888475096090654,0.944431720869098,0.878701730627527,1.30247147153128,0.821659729552108,1.05984,1.05054,1.07076,1.03684,0.57673,0.86803,0.67403,0.40994,0.58126,1.12292,0.91698,0.95465,1.0507,1.0449
IHECRE00000008.3,10,1.93226,0.00734380037048366,0.6317,0.857229104130554,1.05497,0.27,1.487084090813,2.03052466917516,0.847947406248679,0.582167166955566,1.64391409123578,4.84566439775081,1.46515,2.21093,1.44879,0.69975,0.94456,0.70627,1.08592,0.48113,0.52162,0.48604,1.64541,0.65673,1.4008,0.5269
IHECRE00000195.3,1,6.84017,0.0128436729836839,0.76871,0.932474744344592,0.98365,12.78,1.19395723582275,0.377641772544159,5.93125193678339,2.53892159900837,1.09020762317942,0.582228075612023,0.58005,0.39965,0.46164,0.78425,4.42468,2.25589,3.75125,0.48172,0.62384,0.66946,1.52429,1.65733,0.64622,0.62634
IHECRE00000195.3,2,0.7137,0.013747169983529,1.23209,0.830494704210798,0.92442,31.29,2.97432833893051,0.41291010074916,6.55718806509946,14.7576853526221,1.90942262981142,0.529578920175665,0.43796,0.36385,0.45395,0.72621,5.28809,2.26411,5.90902,1.3923,2.54593,0.08851,0.98967,1.16635,0.55393,0.56171
IHECRE00000195.3,3,4.35244,0.0120239195339506,0.55038,0.70968996077579,1.01614,3.11,2.13505676148321,0.721819331508798,0.70687559898432,14.044771916651,1.85204963789237,0.768848863288313,0.64195,0.77673,0.46518,1.01616,1.10542,1.39137,1.43043,1.36914,2.95078,0.09035,1.25501,1.25539,0.69648,1.11822
IHECRE00000195.3,4,0.71614,0.0122472825902609,0.51263,0.565807542262679,1.0113,23.23,13.5882036039383,0.263681961731377,0.796135983652238,21.172877577559,3.2697566412781,0.572468883522199,0.52283,0.80158,0.46379,0.71244,1.30163,1.40594,1.56138,1.48546,2.539,0.10523,1.19587,1.08436,0.57496,1.06738
IHECRE00000195.3,5,0.12711,0.0186008668026549,6.65012,0.261658041603247,0.93915,91.21,12.41633688483,0.225672247590056,0.386910197869102,6.15946220192796,2.67574835109082,0.503500761035008,0.44269,0.95684,0.4671,0.30338,1.65706,1.16954,2.33503,12.37418,4.78475,0.48895,3.70468,1.48049,0.56304,1.00144
IHECRE00000195.3,6,0.8046,0.0526497236303016,51.83959,0.070803961549665,0.51732,14.13,10.7175575298573,0.431619574715992,0.339207690066997,5.90729682493446,18.6481575881153,0.297043402272065,0.15358,0.12614,0.46735,0.3613,8.05767,1.77182,2.98533,50.99174,24.55061,0.05123,1.60669,0.51698,0.56011,0.23044
