EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000112.3,5,0.88597,0.0504841538954039,45.53738,0.117111210561647,0.55054,6.225,9.18139777728052,0.912881330648169,1.13701797568434,6.7537853360185,20.2371522339077,0.373349742671739,0.19493,0.20019,0.45754,0.35916,7.24616,1.68336,3.37514,45.68832,21.5872,0.08853,2.12508,0.58853,0.56554,0.40369
IHECRE00000112.3,6,24.96009,0.00674811740480639,0.0797,0.743371664325843,1.1429,0,0.765339712078652,1.3266327247191,0.361547577247191,0.0668232092696629,1.82391151685393,2.70716292134831,1.28592,1.47429,2.02264,1.13546,0.25146,0.60727,0.31661,0.18553,0.23443,0.16926,0.70905,0.65142,0.8639,1.13111
IHECRE00000112.3,7,2.43213,0.0143826316061992,1.10489,0.705453449173678,0.93399,3.1,3.0854962041275,0.876915065639817,2.18850549510785,7.68239372927344,3.17458272809494,0.630567051278538,0.55285,0.6269,0.42228,0.8971,1.98007,1.72258,2.59828,1.9003,4.66269,0.123,1.51405,1.33459,0.67301,0.93729
IHECRE00000112.3,8,2.97216,0.012746233349809,0.69769,0.908495056755767,0.9313,4.94,1.87757842060295,0.694922494812645,11.5314292688881,1.09575247162212,1.9375686561699,0.768582936653241,0.51904,0.28344,0.47225,0.72022,5.5559,2.30162,4.47335,0.55771,0.70418,0.22756,1.82436,1.5894,0.62232,0.51406
IHECRE00000112.3,9,10.31017,0.0125748448586532,0.35041,0.817786126495991,1.02689,0.46,1.14325690383051,0.89313102753786,0.788566559510438,1.4469576668345,1.71052325806577,0.632325031953213,0.76151,0.80375,0.44993,1.0789,1.14102,1.47462,1.39182,0.8015,1.58235,0.31176,1.51953,1.69421,0.74945,1.02172
IHECRE00000112.3,10,6.41178,0.0114986797526696,0.52235,0.786146443233057,1.06181,0,0.0205374969154497,0.0773156560558135,0.0274244565583148,0.0072346725890033,0.152545034434798,0.201437961280481,2.23234,1.37611,0.81016,0.31594,0.48314,0.72045,0.59308,0.4304,0.59603,11.70008,0.78041,0.87447,0.62455,0.40462
IHECRE00000059.3,1,5.70764,0.0122575875561823,0.48164,0.677775434091465,1.01269,4.4,0.695394656395207,0.245796649547567,0.406341709464417,4.28798300317926,1.77539587918807,0.888252017608217,0.63325,0.75274,0.46631,0.82638,1.27579,1.48212,1.58687,1.19805,2.53026,0.15285,1.33432,1.41492,0.7011,1.06691
IHECRE00000059.3,2,4.51096,0.0103699099222598,0.62975,0.833534392698081,1.05078,0.02,0.000742288447792379,0.00305163028536867,0.00310661461483477,0.00633694397096827,0.0126189036124704,0.0976521691317974,2.62362,1.20058,0.98855,0.18119,0.4689,0.74377,0.59775,0.43581,0.62341,16.62491,0.68404,0.6841,0.54315,0.25833
IHECRE00000059.3,3,39.68977,0.00637916616941555,0.04951,0.830461906514538,1.14403,0,0.0513203901361796,0.753496503496504,0.0515734265734266,0.0651913875598086,1.64857839528892,2.56963102686787,1.15176,1.2822,1.71947,1.31971,0.33951,0.79663,0.37427,0.2302,0.27205,0.18082,0.6921,0.69927,0.83124,1.329
IHECRE00000059.3,4,9.44102,0.00408967140903284,0.47819,0.799376988335101,0.23652,0,0,0,0,0,0,0,0.41204,0.28572,0.27864,0.14544,0.28716,0.196,0.45258,0.40062,0.39085,0.26373,0.72874,0.25364,3.21184,0.14276
